ID,book,bk,ch,vs,field
GEN/2:15,GEN,1,2,15,"And Yahweh God taketh the man, and causeth him to rest in the garden of Eden, to serve it, and to keep it."
GEN/2:16,GEN,1,2,16,"And Yahweh God layeth a charge on the man, saying, `Of every tree of the garden eating thou dost eat;"
GEN/2:17,GEN,1,2,17,"and of the tree of knowledge of good and evil, thou dost not eat of it, for in the day of thine eating of it -- dying thou dost die.'"
GEN/2:18,GEN,1,2,18,"And Yahweh God saith, `Not good for the man to be alone, I do make to him an helper -- as his counterpart.'"
GEN/2:19,GEN,1,2,19,"And Yahweh God formeth from the ground every beast of the field, and every fowl of the heavens, and bringeth in unto the man, to see what he doth call it; and whatever the man calleth a living creature, that  its name."
GEN/2:20,GEN,1,2,20,"And the man calleth names to all the cattle, and to fowl of the heavens, and to every beast of the field; and to man hath not been found an helper -- as his counterpart."
GEN/2:21,GEN,1,2,21,"And Yahweh God causeth a deep sleep to fall upon the man, and he sleepeth, and He taketh one of his ribs, and closeth up flesh in its stead."
GEN/2:22,GEN,1,2,22,"And Yahweh God buildeth up the rib which He hath taken out of the man into a woman, and bringeth her in unto the man;"
GEN/2:23,GEN,1,2,23,"and the man saith, `This  the `proper' step! bone of my bone, and flesh of my flesh!' for this it is called Woman, for from a man hath this been taken;"
GEN/2:24,GEN,1,2,24,"therefore doth a man leave his father and his mother, and hath cleaved unto his wife, and they have become one flesh."
GEN/2:25,GEN,1,2,25,"And they are both of them naked, the man and his wife, and they are not ashamed of themselves."
GEN/3:1,GEN,1,3,1,"And the serpent hath been subtile above every beast of the field which Yahweh God hath made, and he saith unto the woman, `Is it true that God hath said, Ye do not eat of every tree of the garden?'"
GEN/3:2,GEN,1,3,2,"And the woman saith unto the serpent, `Of the fruit of the trees of the garden we do eat,"
GEN/3:3,GEN,1,3,3,"and of the fruit of the tree which  in the midst of the garden God hath said, Ye do not eat of it, nor touch it, lest ye die.'"
GEN/3:4,GEN,1,3,4,"And the serpent saith unto the woman, `Dying, ye do not die,"
GEN/3:5,GEN,1,3,5,"for God doth know that in the day of your eating of it -- your eyes have been opened, and ye have been as God, knowing good and evil.'"
GEN/3:6,GEN,1,3,6,"And the woman seeth that the tree  good for food, and that it  pleasant to the eyes, and the tree is desirable to make `one' wise, and she taketh of its fruit and eateth, and giveth also to her husband with her, and he doth eat;"
GEN/3:7,GEN,1,3,7,"and the eyes of them both are opened, and they know that they `are' naked, and they sew fig-leaves, and make to themselves girdles."
GEN/3:8,GEN,1,3,8,"And they hear the sound of Yahweh God walking up and down in the garden at the breeze of the day, and the man and his wife hide themselves from the face of Yahweh God in the midst of the trees of the garden."
GEN/3:9,GEN,1,3,9,"And Yahweh God calleth unto the man, and saith to him, `Where `art' thou?'"
GEN/3:10,GEN,1,3,10,"and he saith, `Thy sound I have heard in the garden, and I am afraid, for I am naked, and I hide myself.'"
GEN/3:11,GEN,1,3,11,"And He saith, `Who hath declared to thee that thou `art' naked? of the tree of which I have commanded thee not to eat, hast thou eaten?'"
GEN/3:12,GEN,1,3,12,"and the man saith, `The woman whom Thou didst place with me -- she hath given to me of the tree -- and I do eat.'"
GEN/3:13,GEN,1,3,13,"And Yahweh God saith to the woman, `What  this thou hast done?' and the woman saith, `The serpent hath caused me to forget -- and I do eat.'"
GEN/3:14,GEN,1,3,14,"And Yahweh God saith unto the serpent, `Because thou hast done this, cursed `art' thou above all the cattle, and above every beast of the field: on thy belly dost thou go, and dust thou dost eat, all days of thy life;"
GEN/3:15,GEN,1,3,15,"and enmity I put between thee and the woman, and between thy seed and her seed; he doth bruise thee -- the head, and thou dost bruise him -- the heel.'"
GEN/3:16,GEN,1,3,16,"Unto the woman He said, `Multiplying I multiply thy sorrow and thy conception, in sorrow dost thou bear children, and toward thy husband  thy desire, and he doth rule over thee.'"
GEN/3:17,GEN,1,3,17,"And to the man He said, `Because thou hast hearkened to the voice of thy wife, and dost eat of the tree concerning which I have charged thee, saying, Thou dost not eat of it, cursed  the ground on thine account; in sorrow thou dost eat of it all days of thy life,"
GEN/3:18,GEN,1,3,18,"and thorn and bramble it doth bring forth to thee, and thou hast eaten the herb of the field;"
GEN/3:19,GEN,1,3,19,"by the sweat of thy face thou dost eat bread till thy return unto the ground, for out of it hast thou been taken, for dust thou `art', and unto dust thou turnest back.'"
GEN/3:20,GEN,1,3,20,And the man calleth his wife's name Eve: for she hath been mother of all living.
GEN/3:21,GEN,1,3,21,"And Yahweh God doth make to the man and to his wife coats of skin, and doth clothe them."
GEN/3:22,GEN,1,3,22,"And Yahweh God saith, `Lo, the man was as one of Us, as to the knowledge of good and evil; and now, lest he send forth his hand, and have taken also of the tree of life, and eaten, and lived to the age,' --"
GEN/3:23,GEN,1,3,23,Yahweh God sendeth him forth from the garden of Eden to serve the ground from which he hath been taken;
GEN/3:24,GEN,1,3,24,"yea, he casteth out the man, and causeth to dwell at the east of the garden of Eden the cherubs and the flame of the sword which is turning itself round to guard the way of the tree of life."
GEN/4:1,GEN,1,4,1,"And the man knew Eve his wife, and she conceiveth and beareth Cain, and saith, `I have gotten a man by Yahweh;'"
GEN/4:2,GEN,1,4,2,"and she addeth to bear his brother, even Abel. And Abel is feeding a flock, and Cain hath been servant of the ground."
GEN/4:3,GEN,1,4,3,And it cometh to pass at the end of days that Cain bringeth from the fruit of the ground a present to Yahweh;
GEN/4:4,GEN,1,4,4,"and Abel, he hath brought, he also, from the female firstlings of his flock, even from their fat ones; and Yahweh looketh unto Abel and unto his present,"
GEN/4:5,GEN,1,4,5,"and unto Cain and unto his present He hath not looked; and it is very displeasing to Cain, and his countenance is fallen."
GEN/4:6,GEN,1,4,6,"And Yahweh saith unto Cain, `Why hast thou displeasure? and why hath thy countenance fallen?"
GEN/4:7,GEN,1,4,7,"Is there not, if thou dost well, acceptance? and if thou dost not well, at the opening a sin-offering is crouching, and unto thee its desire, and thou rulest over it.'"
GEN/4:8,GEN,1,4,8,"And Cain saith unto Abel his brother, ``Let us go into the field;'' and it cometh to pass in their being in the field, that Cain riseth up against Abel his brother, and slayeth him."
GEN/4:9,GEN,1,4,9,"And Yahweh saith unto Cain, `Where  Abel thy brother?' and he saith, `I have not known; my brother's keeper -- I?'"
GEN/4:10,GEN,1,4,10,"And He saith, `What hast thou done? the voice of thy brother's blood is crying unto Me from the ground;"
GEN/4:11,GEN,1,4,11,"and now, cursed `art' thou from the ground, which hath opened her mouth to receive the blood of thy brother from thy hand;"
GEN/4:12,GEN,1,4,12,"when thou tillest the ground, it doth not add to give its strength to thee -- a wanderer, even a trembling one, thou art in the earth.'"
GEN/4:13,GEN,1,4,13,"And Cain saith unto Yahweh, `Greater is my punishment than to be borne;"
GEN/4:14,GEN,1,4,14,"lo, Thou hast driven me to-day from off the face of the ground, and from Thy face I am hid; and I have been a wanderer, even a trembling one, in the earth, and it hath been -- every one finding me doth slay me.'"
GEN/4:15,GEN,1,4,15,"And Yahweh saith to him, `Therefore -- of any slayer of Cain sevenfold it is required;' and Yahweh setteth to Cain a token that none finding him doth slay him."
GEN/4:16,GEN,1,4,16,"And Cain goeth out from before Yahweh, and dwelleth in the land, moving about east of Eden;"
GEN/4:17,GEN,1,4,17,"and Cain knoweth his wife, and she conceiveth, and beareth Enoch; and he is building a city, and he calleth the name of the city, according to the name of his son -- Enoch."
GEN/4:18,GEN,1,4,18,And born to Enoch is Irad; and Irad hath begotten Mehujael; and Mehujael hath begotten Methusael; and Methusael hath begotten Lamech.
GEN/4:19,GEN,1,4,19,"And Lamech taketh to himself two wives, the name of the one Adah, and the name of the second Zillah."
GEN/4:20,GEN,1,4,20,"And Adah beareth Jabal, he hath been father of those inhabiting tents and purchased possessions;"
GEN/4:21,GEN,1,4,21,"and the name of his brother  Jubal, he hath been father of every one handling harp and organ."
GEN/4:22,GEN,1,4,22,"And Zillah she also bare Tubal-Cain, an instructor of every artificer in brass and iron; and a sister of Tubal-Cain  Naamah."
GEN/4:23,GEN,1,4,23,"And Lamech saith to his wives: -- `Adah and Zillah, hear my voice; Wives of Lamech, give ear `to' my saying: For a man I have slain for my wound, Even a young man for my hurt;"
GEN/4:24,GEN,1,4,24,"For sevenfold is required for Cain, And for Lamech seventy and sevenfold.'"
GEN/4:25,GEN,1,4,25,"And Adam again knoweth his wife, and she beareth a son, and calleth his name Seth, `for God hath appointed for me another seed instead of Abel:' for Cain had slain him."
GEN/4:26,GEN,1,4,26,"And to Seth, to him also a son hath been born, and he calleth his name Enos; then a beginning was made of preaching in the name of Yahweh."
